time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
19.900000000000002,-0.0916553520762,-1.00629139685,-1.16390792281,1.94240317266,0.666898147533,1.02431567111,-0.498543756063,100.0,-0.0126553415001,-0.501995212836,0.781563211428,0.905815655246,-0.114665063894,1.61259730326,-3.001151151151151,0.0
19.91,-0.0916553520762,-1.00629139685,-1.16390792281,1.94240317266,0.666898147533,1.02431567111,-0.498543756063,100.0,-0.0126553415001,-0.501995212836,0.781563211428,0.905815655246,-0.114665063894,1.61259730326,-3.007257257257257,0.0
19.92,-0.0916553520762,-1.00629139685,-1.16390792281,1.94240317266,0.666898147533,1.02431567111,-0.498543756063,100.0,-0.0126553415001,-0.501995212836,0.781563211428,0.905815655246,-0.114665063894,1.61259730326,-3.0133633633633634,0.0
19.93,-0.0916553520762,-1.00629139685,-1.16390792281,1.94240317266,0.666898147533,1.02431567111,-0.498543756063,100.0,-0.0126553415001,-0.501995212836,0.781563211428,0.905815655246,-0.114665063894,1.61259730326,-3.0194694694694695,0.0
19.94,-0.0916553520762,-1.00629139685,-1.16390792281,1.94240317266,0.666898147533,1.02431567111,-0.498543756063,100.0,-0.0126553415001,-0.501995212836,0.781563211428,0.905815655246,-0.114665063894,1.61259730326,-3.0255755755755755,0.0
19.95,-0.0920388472731,-1.00667489205,-1.16314093241,1.94317016305,0.66728164273,1.02393217591,-0.498543756063,100.0,-0.00997087512126,-0.499310746457,0.783864182609,0.902364198474,-0.115048559091,1.61374778886,-3.0316816816816816,0.0
19.96,-0.0920388472731,-1.00667489205,-1.16314093241,1.94317016305,0.66728164273,1.02393217591,-0.498543756063,100.0,-0.00997087512126,-0.499310746457,0.783864182609,0.902364198474,-0.115048559091,1.61374778886,-3.0377877877877877,0.0
19.97,-0.0920388472731,-1.00667489205,-1.16314093241,1.94317016305,0.66728164273,1.02393217591,-0.498543756063,100.0,-0.00997087512126,-0.499310746457,0.783864182609,0.902364198474,-0.115048559091,1.61374778886,-3.0438938938938938,0.0
19.98,-0.0920388472731,-1.00667489205,-1.16314093241,1.94317016305,0.66728164273,1.02393217591,-0.498543756063,100.0,-0.00997087512126,-0.499310746457,0.783864182609,0.902364198474,-0.115048559091,1.61374778886,-3.05,0.0
19.990000000000002,-0.0920388472731,-1.00667489205,-1.16314093241,1.94317016305,0.66728164273,1.02393217591,-0.498543756063,100.0,-0.00997087512126,-0.499310746457,0.783864182609,0.902364198474,-0.115048559091,1.61374778886,-3.05,0.0
20.0,-0.0916553520762,-1.00667489205,-1.16314093241,1.94240317266,0.66728164273,1.02354868072,-0.498543756063,100.0,-0.00882038953034,-0.495859289684,0.783097192216,0.899296236898,-0.114665063894,1.61528176964,-3.0438938938938938,0.0
20.01,-0.0916553520762,-1.00667489205,-1.16314093241,1.94240317266,0.66728164273,1.02354868072,-0.498543756063,100.0,-0.00882038953034,-0.495859289684,0.783097192216,0.899296236898,-0.114665063894,1.61528176964,-3.0377877877877877,0.0
20.02,-0.0916553520762,-1.00667489205,-1.16314093241,1.94240317266,0.66728164273,1.02354868072,-0.498543756063,100.0,-0.00882038953034,-0.495859289684,0.783097192216,0.899296236898,-0.114665063894,1.61528176964,-3.0316816816816816,0.0
20.03,-0.0916553520762,-1.00667489205,-1.16314093241,1.94240317266,0.66728164273,1.02354868072,-0.498543756063,100.0,-0.00882038953034,-0.495859289684,0.783097192216,0.899296236898,-0.114665063894,1.61528176964,-3.0255755755755755,0.0
20.04,-0.0916553520762,-1.00667489205,-1.16314093241,1.94240317266,0.66728164273,1.02354868072,-0.498543756063,100.0,-0.00882038953034,-0.495859289684,0.783097192216,0.899296236898,-0.114665063894,1.61528176964,-3.0194694694694695,0.0
20.05,-0.0912718568792,-1.00667489205,-1.16275743722,1.94317016305,0.666898147533,1.02354868072,-0.498543756063,100.0,-0.00843689433337,-0.492791328108,0.781946706625,0.895461284928,-0.114665063894,1.61643225523,-3.0133633633633634,0.0
20.06,-0.0912718568792,-1.00667489205,-1.16275743722,1.94317016305,0.666898147533,1.02354868072,-0.498543756063,100.0,-0.00843689433337,-0.492791328108,0.781946706625,0.895461284928,-0.114665063894,1.61643225523,-3.007257257257257,0.0
20.07,-0.0912718568792,-1.00667489205,-1.16275743722,1.94317016305,0.666898147533,1.02354868072,-0.498543756063,100.0,-0.00843689433337,-0.492791328108,0.781946706625,0.895461284928,-0.114665063894,1.61643225523,-3.001151151151151,0.0
20.080000000000002,-0.0912718568792,-1.00667489205,-1.16275743722,1.94317016305,0.666898147533,1.02354868072,-0.498543756063,100.0,-0.00843689433337,-0.492791328108,0.781946706625,0.895461284928,-0.114665063894,1.61643225523,-2.9950450450450448,0.0
20.09,-0.0912718568792,-1.00667489205,-1.16275743722,1.94317016305,0.666898147533,1.02354868072,-0.498543756063,100.0,-0.00843689433337,-0.492791328108,0.781946706625,0.895461284928,-0.114665063894,1.61643225523,-2.9889389389389387,0.0
20.1,-0.0916553520762,-1.00705838725,-1.16314093241,1.94278666786,0.666131157139,1.02354868072,-0.498543756063,100.0,-0.00690291354548,-0.488956376138,0.781179716231,0.893160313746,-0.1138980735,1.61643225523,-2.9828328328328326,0.0
20.11,-0.0916553520762,-1.00705838725,-1.16314093241,1.94278666786,0.666131157139,1.02354868072,-0.498543756063,100.0,-0.00690291354548,-0.488956376138,0.781179716231,0.893160313746,-0.1138980735,1.61643225523,-2.9767267267267266,0.0
20.12,-0.0916553520762,-1.00705838725,-1.16314093241,1.94278666786,0.666131157139,1.02354868072,-0.498543756063,100.0,-0.00690291354548,-0.488956376138,0.781179716231,0.893160313746,-0.1138980735,1.61643225523,-2.9706206206206205,0.0
20.13,-0.0916553520762,-1.00705838725,-1.16314093241,1.94278666786,0.666131157139,1.02354868072,-0.498543756063,100.0,-0.00690291354548,-0.488956376138,0.781179716231,0.893160313746,-0.1138980735,1.61643225523,-2.9645145145145144,0.0
20.14,-0.0916553520762,-1.00705838725,-1.16314093241,1.94278666786,0.666131157139,1.02354868072,-0.498543756063,100.0,-0.00690291354548,-0.488956376138,0.781179716231,0.893160313746,-0.1138980735,1.61643225523,-2.9584084084084084,0.0
20.150000000000002,-0.0912718568792,-1.00705838725,-1.16352442761,1.94278666786,0.666898147533,1.02354868072,-0.498543756063,100.0,-0.00575242795457,-0.486655404957,0.781946706625,0.888558371383,-0.113131083107,1.61758274083,-2.9523023023023023,0.0
20.16,-0.0912718568792,-1.00705838725,-1.16352442761,1.94278666786,0.666898147533,1.02354868072,-0.498543756063,100.0,-0.00575242795457,-0.486655404957,0.781946706625,0.888558371383,-0.113131083107,1.61758274083,-2.946196196196196,0.0
20.17,-0.0912718568792,-1.00705838725,-1.16352442761,1.94278666786,0.666898147533,1.02354868072,-0.498543756063,100.0,-0.00575242795457,-0.486655404957,0.781946706625,0.888558371383,-0.113131083107,1.61758274083,-2.9400900900900897,0.0
20.18,-0.0912718568792,-1.00705838725,-1.16352442761,1.94278666786,0.666898147533,1.02354868072,-0.498543756063,100.0,-0.00575242795457,-0.486655404957,0.781946706625,0.888558371383,-0.113131083107,1.61758274083,-2.9339839839839836,0.0
20.19,-0.0912718568792,-1.00705838725,-1.16352442761,1.94278666786,0.666898147533,1.02354868072,-0.498543756063,100.0,-0.00575242795457,-0.486655404957,0.781946706625,0.888558371383,-0.113131083107,1.61758274083,-2.9278778778778776,0.0
20.2,-0.0916553520762,-1.00705838725,-1.16352442761,1.94240317266,0.66728164273,1.02316518552,-0.49892725126,100.0,-0.00498543756063,-0.483203948184,0.782713697019,0.885490409807,-0.11274758791,1.61796623602,-2.9217717717717715,0.0
20.21,-0.0916553520762,-1.00705838725,-1.16352442761,1.94240317266,0.66728164273,1.02316518552,-0.49892725126,100.0,-0.00498543756063,-0.483203948184,0.782713697019,0.885490409807,-0.11274758791,1.61796623602,-2.9156656656656654,0.0
20.22,-0.0916553520762,-1.00705838725,-1.16352442761,1.94240317266,0.66728164273,1.02316518552,-0.49892725126,100.0,-0.00498543756063,-0.483203948184,0.782713697019,0.885490409807,-0.11274758791,1.61796623602,-2.9095595595595594,0.0
20.23,-0.0916553520762,-1.00705838725,-1.16352442761,1.94240317266,0.66728164273,1.02316518552,-0.49892725126,100.0,-0.00498543756063,-0.483203948184,0.782713697019,0.885490409807,-0.11274758791,1.61796623602,-2.9034534534534533,0.0
20.240000000000002,-0.0916553520762,-1.00705838725,-1.16352442761,1.94240317266,0.66728164273,1.02316518552,-0.49892725126,100.0,-0.00498543756063,-0.483203948184,0.782713697019,0.885490409807,-0.11274758791,1.61796623602,-2.8973473473473472,0.0
20.25,-0.0908883616822,-1.00667489205,-1.16352442761,1.94278666786,0.666131157139,1.02393217591,-0.499310746457,100.0,-0.0026844663788,-0.480135986608,0.781563211428,0.883956429019,-0.1138980735,1.61988371201,-2.891241241241241,0.0
20.26,-0.0908883616822,-1.00667489205,-1.16352442761,1.94278666786,0.666131157139,1.02393217591,-0.499310746457,100.0,-0.0026844663788,-0.480135986608,0.781563211428,0.883956429019,-0.1138980735,1.61988371201,-2.885135135135135,0.0
20.27,-0.0908883616822,-1.00667489205,-1.16352442761,1.94278666786,0.666131157139,1.02393217591,-0.499310746457,100.0,-0.0026844663788,-0.480135986608,0.781563211428,0.883956429019,-0.1138980735,1.61988371201,-2.879029029029029,0.0
20.28,-0.0908883616822,-1.00667489205,-1.16352442761,1.94278666786,0.666131157139,1.02393217591,-0.499310746457,100.0,-0.0026844663788,-0.480135986608,0.781563211428,0.883956429019,-0.1138980735,1.61988371201,-2.872922922922923,0.0
20.29,-0.0908883616822,-1.00667489205,-1.16352442761,1.94278666786,0.666131157139,1.02393217591,-0.499310746457,100.0,-0.0026844663788,-0.480135986608,0.781563211428,0.883956429019,-0.1138980735,1.61988371201,-2.866816816816817,0.0
20.3,-0.0920388472731,-1.00667489205,-1.16352442761,1.94278666786,0.66728164273,1.02393217591,-0.498543756063,100.0,-0.00191747598486,-0.475917539441,0.780412725837,0.882038953034,-0.11274758791,1.6202672072,-2.8607107107107104,0.0
20.31,-0.0920388472731,-1.00667489205,-1.16352442761,1.94278666786,0.66728164273,1.02393217591,-0.498543756063,100.0,-0.00191747598486,-0.475917539441,0.780412725837,0.882038953034,-0.11274758791,1.6202672072,-2.8546046046046043,0.0
20.32,-0.0920388472731,-1.00667489205,-1.16352442761,1.94278666786,0.66728164273,1.02393217591,-0.498543756063,100.0,-0.00191747598486,-0.475917539441,0.780412725837,0.882038953034,-0.11274758791,1.6202672072,-2.8484984984984982,0.0
20.330000000000002,-0.0920388472731,-1.00667489205,-1.16352442761,1.94278666786,0.66728164273,1.02393217591,-0.498543756063,100.0,-0.00191747598486,-0.475917539441,0.780412725837,0.882038953034,-0.11274758791,1.6202672072,-2.842392392392392,0.0
20.34,-0.0920388472731,-1.00667489205,-1.16352442761,1.94278666786,0.66728164273,1.02393217591,-0.498543756063,100.0,-0.00191747598486,-0.475917539441,0.780412725837,0.882038953034,-0.11274758791,1.6202672072,-2.836286286286286,0.0
20.35,-0.0916553520762,-1.00705838725,-1.16352442761,1.94240317266,0.666514652336,1.02354868072,-0.497776765669,100.0,-0.00191747598486,-0.473233073063,0.780796221034,0.877820505867,-0.1138980735,1.6206507024,-2.83018018018018,0.0
20.36,-0.0916553520762,-1.00705838725,-1.16352442761,1.94240317266,0.666514652336,1.02354868072,-0.497776765669,100.0,-0.00191747598486,-0.473233073063,0.780796221034,0.877820505867,-0.1138980735,1.6206507024,-2.824074074074074,0.0
20.37,-0.0916553520762,-1.00705838725,-1.16352442761,1.94240317266,0.666514652336,1.02354868072,-0.497776765669,100.0,-0.00191747598486,-0.473233073063,0.780796221034,0.877820505867,-0.1138980735,1.6206507024,-2.817967967967968,0.0
20.38,-0.0916553520762,-1.00705838725,-1.16352442761,1.94240317266,0.666514652336,1.02354868072,-0.497776765669,100.0,-0.00191747598486,-0.473233073063,0.780796221034,0.877820505867,-0.1138980735,1.6206507024,-2.811861861861862,0.0
20.39,-0.0916553520762,-1.00705838725,-1.16352442761,1.94240317266,0.666514652336,1.02354868072,-0.497776765669,100.0,-0.00191747598486,-0.473233073063,0.780796221034,0.877820505867,-0.1138980735,1.6206507024,-2.8057557557557558,0.0
20.400000000000002,-0.0924223424701,-1.00705838725,-1.16352442761,1.94240317266,0.666514652336,1.02393217591,-0.499310746457,100.0,-0.000383495196971,-0.469398121093,0.782330201822,0.875136039489,-0.113514578304,1.62180118799,-2.7996496496496492,0.0
20.41,-0.0924223424701,-1.00705838725,-1.16352442761,1.94240317266,0.666514652336,1.02393217591,-0.499310746457,100.0,-0.000383495196971,-0.469398121093,0.782330201822,0.875136039489,-0.113514578304,1.62180118799,-2.793543543543543,0.0
